Overlay,HeritagePlace,PaintControls,InternalControls,TreeControls,FenceControls,IncludedInVHR,Included,VHR,Prohibited,AboriginalHeritagePlace,Status,Expiry
HO327,"North Fitzroy Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO327,HO327
HO328,"Park Crescent Precinct, Alphington Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO328,HO328
HO329,"Princes Hill Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO329,HO329
HO330,"Queens Parade Precinct, North Fitzroy/Clifton Hill Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO330,HO330
HO331,"Racecourse Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO331,HO331
HO332,"Richmond Hill Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO332,HO332
HO333,"Smith Street Precinct, Fitzroy/Collingwood Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO333,HO333
HO334,"South Fitzroy Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO334,HO334
HO335,"Swan Street Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO335,HO335
HO336,"Victoria Parade Precinct, Collingwood Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO336,HO336
HO337,"Victoria Park Precinct, Abbotsford Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO337,HO337
HO338,"West Richmond Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO338,HO338
HO339,"William Street Precinct, Abbotsford Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO339,HO339
HO342,"Cremorne Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO342,HO342
HO344,"Yarra Bend Road, Fairfield Fairfield Hospital Grounds (former) Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,Yes,No,No,No,,Yes,No,HO344,HO344
HO345,"38-40 BRUNSWICK STREET, FITZROY Former Melbourne Veterinary College",-,-,-,-,Yes Ref No H1939,Yes,H1939,No,No,HO345,HO345
HO346,"18, 20A & 20B DARLINGTON PARADE, RICHMOND Vaucluse College",-,-,-,-,Yes Ref No H1927,Yes,H1927,No,,HO346,HO346
HO347,20-22 BRUNSWICK STREET FITZROY Cathedral Hall,-,-,-,-,Yes Ref No  H1967,Yes,H1967,No,No,HO347,HO347
HO349,"Rosella Factory Complex, Buildings 1, 2 (façade and 8 metres depth of building only), 6, 7, 12, 13, 15, and 18 (façade and 7.5 metres depth of building only), with emphasis on fabric from the main Rosella complex development period (c1905- 1940). Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO349,HO349
HO350,2 GOUGH STREET CRMEORNE Nylex sign 2 & 15 GOUGH STREET CREMORNE STREET Richmond Maltings,-,-,-,-,Yes  Ref No H2049 &  Ref No H2050,Yes,H2049,No,No,HO350,HO350
HO351,"Former “Spicer Factory”, 163-167 Noone Street, Clifton Hill (for a depth of 14.5 metres from the front façade/Noone Street title boundary). Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO351,HO351
HO352,LULIE STREET ABBOTSFORD Victoria Park The heritage place includes garden reserve,-,-,-,-,Yes Ref No H75,Yes,H75,No,No,HO352,HO352
HO353,651-653 VICTORIA STREET ABBOTSFORD Skipping Girl Neon Sign,-,-,-,-,Yes Ref No H2083,Yes,H2083,No,No,HO353,HO353
HO354,35 JOHNSTON STREET COLLINGWOOD Keith Haring Mural,-,-,-,-,Yes Ref No H2055,Yes,H2055,No,No,HO354,HO354
HO355,"ALEXANDRA PARADE FITZROY “Aqua Profonda” sign, Fitzroy Pool",-,-,-,-,Yes Ref No H1687,Yes,H1687,No,No,HO355,HO355
HO356,185-193 FITZROY STREET AND 12 COWELL STREET FITZROY Christian Israelite Sanctuary,-,-,-,-,Yes Ref No H97,Yes,H97,No,No,HO356,HO356
HO357,90-92 SWAN STREET RICHMOND   Former Richmond South Post Office,-,-,-,-,Yes Ref No     H48,Yes,H48,No, ,HO357,HO357
HO358,95 KING WILLIAM STREET FITZROY All Saints Church Hall,-,-,-,-,Yes Ref No H2172,Yes,H2172,Yes,No,HO358,HO358
HO359,326-348 CHURCH STREET RICHMOND St Ignatius Church Complex,-,-,-,-,Yes Ref No H2146,Yes,H2146,Yes,,HO359,HO359
HO360,140-160 SWAN STREET CREMORNE Dimmeys,-,-,-,-,Yes Ref No H2184,Yes,H2184,No,No,HO360,HO360
HO361,"World Heritage Environs Area Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO361,HO361
HO362,Alphington East Precinct,No,No,No,No,No,No,,No,No,HO362,HO362
HO363,"Cole’s Paddock Precinct, Richmond",No,No,No,No,No,No,,No,No,HO363,HO363
HO364,"Wellington Street Precinct, Cremorne",No,No,No,No,No,No,,No,No,HO364,HO364
HO365,69 BALMAIN STREET CREMORNE Grocer's shop & residence,No,No,No,No,No,No,,No,No,HO365,HO365
HO366,75 BALMAIN STREET CREMORNE Olinda,No,No,No,No,No,No,,No,No,HO366,HO366
HO367,80-82 BALMAIN STREET CREMORNE Klembro Pty Ltd factory,Yes,No,No,No,No,No,,No,No,HO367,HO367
HO368,"10 PEARSON STREET CREMORNE & 11 CHAPEL STREET, CREMORNE House and stables",No,No,No,No,No,No,,No,No,HO368,HO368
HO369,"2-6 APPLETON STREET RICHMOND, 97-103 BURNLEY STREET RICHMOND",No,No,No,No,No,No,,No,No,HO369,HO369
HO370,24 APPLETON STREET RICHMOND,No,No,No,No,No,No,,No,No,HO370,HO370
HO371,53-55 BAKER STREET RICHMOND,No,No,No,No,No,No,,No,No,HO371,HO371
HO372,25-31 BOSISTO STREET RICHMOND,No,No,No,No,No,No,,No,No,HO372,HO372
HO373,167 BRIGHTON STREET RICHMOND,No,No,No,No,No,No,,No,No,HO373,HO373
HO374,53 BURNLEY STREET RICHMOND Former Loyal Studley Hotel,Yes,No,No,No,No,No,,No,No,HO374,HO374
HO375,81-95 BURNLEY STREET RICHMOND Russell Manufacturing Company Pty Ltd later Repco,Yes,No,No,No,No,No,,No,No,HO375,HO375
HO376,"63-71 CHURCH STREET RICHMOND House, part shop & row house",Yes,No,No,No,No,No,,No,No,HO376,HO376
HO377,115-117 CHURCH STREET RICHMOND Former S. Andrewartha Showrooms (furniture),Yes,No,No,No,No,No,,No,No,HO377,HO377
HO378,135 CHURCH STREET RICHMOND Former Bristol Hotel,Yes,No,No,No,No,No,,No,No,HO378,HO378
HO379,"164 CHURCH STREET RICHMOND Naughten's Hotel, later Citizens Park Hotel and DT's",Yes,No,No,No,No,No,,No,No,HO379,HO379
HO380,"178 CHURCH STREET RICHMOND James Lentell building, later confectioner and bakery",Yes,No,No,No,No,No,,No,No,HO380,HO380
HO381,533-537 CHURCH STREET RICHMOND Alexander Miller's shops & residences,Yes,No,No,No,No,No,,No,No,HO381,HO381
HO382,619 CHURCH STREET RICHMOND Prince Alfred Hotel,Yes,No,No,No,No,No,,No,No,HO382,HO382
HO383,93 ELIZABETH STREET RICHMOND Kia Ora,No,No,No,No,No,No,,No,No,HO383,HO383
HO384,102 ELIZABETH STREET RICHMOND Grocer's shop & residence,Yes,No,No,No,No,No,,No,No,HO384,HO384
HO385,53 GARDNER STREET RICHMOND,No,No,No,No,No,No,,No,No,HO385,HO385
HO386,82 GARDNER STREET RICHMOND,No,No,No,No,No,No,,No,No,HO386,HO386
HO387,193-197 HIGHETT STREET RICHMOND,No,No,No,No,No,No,,No,No,HO387,HO387
HO388,247 HIGHETT STREET RICHMOND,No,No,No,No,No,No,,No,No,HO388,HO388
HO389,361 HIGHETT STREET RICHMOND Mornington,No,No,No,No,No,No,,No,No,HO389,HO389
HO390,"27-29 HODDLE STREET RICHMOND Walters' house, warehouse and stables complex",Yes,No,No,No,No,No,,No,No,HO390,HO390
HO391,129 HODDLE STREET RICHMOND Former Relova Redressing Laundry,Yes,No,No,No,No,No,,No,No,HO391,HO391
HO392,139 HODDLE STREET RICHMOND,No,No,No,No,No,No,,No,No,HO392,HO392
HO393,9 HULL STREET RICHMOND,No,No,No,No,No,No,,No,No,HO393,HO393
HO394,35-37 KENT STREET RICHMOND Row houses,Yes,No,No,No,No,No,,No,No,HO394,HO394
HO395,"59 KENT STREET RICHMOND William North house, later Navarre",Yes,No,No,No,No,No,,No,No,HO395,HO395
HO396,64 LENNOX STREET RICHMOND All Nations Hotel,Yes,No,No,No,No,No,,No,No,HO396,HO396
HO397,66 LENNOX STREET RICHMOND Mahony's shop and residence,Yes,No,No,No,No,No,,No,No,HO397,HO397
HO398,28 MURPHY STREET RICHMOND,No,No,No,No,No,No,,No,No,HO398,HO398
HO399,2-4 REGENT STREET RICHMOND,No,No,No,No,No,No,,No,No,HO399,HO399
HO400,10-14 REGENT STREET RICHMOND,Yes,No,No,No,No,No,,No,No,HO400,HO400
HO401,"28-34 ROONEY STREET, 20-24 ROSE STREET, RICHMOND & 27-57 ROONEY STREET, RICHMOND Russell Brothers tannery, part",Yes,No,No,No,No,No,,No,No,HO401,HO401
HO402,33 SMITH STREET RICHMOND,No,No,No,No,No,No,,No,No,HO402,HO402
HO403,150 SOMERSET STREET RICHMOND Portarlington Villa,No,No,No,No,No,No,,No,No,HO403,HO403
HO404,154 SOMERSET STREET RICHMOND Former Richmond Metropolitan Fire Station,Yes,No,No,No,No,No,,No,No,HO404,HO404
HO405,"60-62 SWAN STREET RICHMOND The Greyhound Hotel, later Depot Hotel, now Precinct Hotel",Yes,No,No,No,No,No,,No,No,HO405,HO405
HO406,6 YARRA STREET RICHMOND,No,No,No,No,No,No,,No,No,HO406,HO406
HO407,"21-27 YORK STREET, UNITS 1-7 OF 31 YORK STREET RICHMOND Marchants Aerated Waters and Cordials Pty Ltd",Yes,No,No,No,No,No,,No,No,HO407,HO407
HO408,Victoria Street Precinct,Yes,No,No,No,No,No,,No,No,HO408,HO408
HO409,"219-223 JOHNSTON STREET, ABBOTSFORD",Yes,No,No,No,No,No,,No,No,HO409,HO409
HO410,"247-253 JOHNSTON STREET, ABBOTSFORD St Crispin House",Yes,No,No,No,No,No,,No,No,HO410,HO410
HO411,"258-260 JOHNSTON STREET, ABBOTSFORD",Yes,No,No,No,No,No,,No,No,HO411,HO411
HO412,"300-302 JOHNSTON STREET, ABBOTSFORD",Yes,No,No,No,No,No,,No,No,HO412,HO412
HO413,"323-325 JOHNSTON STREET, ABBOTSFORD",Yes,No,No,No,No,No,,No,No,HO413,HO413
HO414,"407-409 AND 411 JOHNSTON STREET, ABBOTSFORD",Yes,No,No,No,No,No,,No,No,HO414,HO414
HO415,"1-17 STAFFORD STREET, ABBOTSFORD Whybrow’s Boot Factory",Yes,No,No,No,No,No,,No,No,HO415,HO415
HO416,"323-325 VICTORIA STREET, ABBOTSFORD Quint Café (former Duke of Albany Hotel)",Yes,No,No,No,No,No,,No,No,HO416,HO416
HO417,"63 CAMBRIDGE STREET (INCLUDING 44 OXFORD STREET), COLLINGWOOD Dyason & Co. Cordial Factory",Yes,No,No,No,No,No,,No,No,HO417,HO417
HO418,"90-94 ROKEBY STREET, COLLINGWOOD Ideal Box Co. factory",Yes,No,No,No,No,No,,No,No,HO418,HO418
HO419,"49 VERE STREET, COLLINGWOOD Collingwood College",Yes,No,No,No,No,No,,No,No,HO419,HO419
HO420,"64 WELLINGTON STREET, COLLINGWOOD William Peatt boot factory",Yes,No,No,No,No,No,,No,No,HO420,HO420
HO421,"224 HEIDELBERG ROAD, FAIRFIELD Porta factory",Yes,No,No,No,No,No,,No,No,HO421,HO421
HO422,"4 HENRY STREET, FITZROY",Yes,No,No,No,No,No,,No,No,HO422,HO422
HO423,"658 NICHOLSON STREET, NORTH FITZROY",Yes,No,No,No,No,No,,No,No,HO423,HO423
HO424,"22 -28 ABINGER STREET; 37-45 LYNDHURST STREET, RICHMOND Former maltings complex",Yes,No,No,No,No,No,,No,No,HO424,HO424
HO425,"15-21 BELL STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO425,HO425
HO426,"185 BURNLEY STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO426,HO426
HO427,"289, 291 AND 293 BURNLEY STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO427,HO427
HO428,"331-333 BURNLEY STREET, RICHMOND Grand Hotel",Yes,No,No,No,No,No,,No,No,HO428,HO428
HO429,"400-402 BURNLEY STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO429,HO429
HO430,"204, 206 AND 208 COPPIN STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO430,HO430
HO431,"1-11 DICKENS STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO431,HO431
HO432,"42 EDINBURGH STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO432,HO432
HO433,"19-21 FARMER STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO433,HO433
HO434,"75 FRASER STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO434,HO434
HO435,"160-166 LORD STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO435,HO435
HO436,"89 NEPTUNE STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO436,HO436
HO437,"6 PARK AVENUE, RICHMOND",No,No,No,No,No,No,,No,No,HO437,HO437
HO438,"18 PARK AVENUE, RICHMOND ‘Howrose’",Yes,No,No,No,No,No,,No,No,HO438,HO438
HO439,"22, 24 AND 26 PARK AVENUE, RICHMOND",Yes,No,No,No,No,No,,No,No,HO439,HO439
HO440,"309 SWAN STREET, RICHMOND Swan Street Drill Hall",Yes,No,No,No,No,No,,No,No,HO440,HO440
HO441,"319 SWAN STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO441,HO441
HO442,"413-415 SWAN STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO442,HO442
HO443,"196A, 198 and 200-220 BURNLEY STREET, RICHMOND",Yes,No,No,No,No,No,,No,No,HO443,HO443
HO444,"Victoria Street West Precinct (233-251 VICTORIA STREET, ABBOTSFORD)",Yes,No,No,No,No,No,,No,No,HO444,HO444
HO445,137-151 CREMORNE STREET CREMORNE Wilford Terrace,Yes,No,No,No,No,No,,No,No,HO445,HO445
HO446,21-33 CUBITT STREET CREMORNE Terrace,Yes,No,No,No,No,No,,No,No,HO446,HO446
HO447,58-60 CUBITT STREET CREMORNE Houses,Yes,No,No,No,No,No,,No,No,HO447,HO447
HO448,54-64 BAKER STREET RICHMOND Somerset Terrace,Yes,No,No,No,No,No,,No,No,HO448,HO448
HO449,70 BAKER STREET RICHMOND House and fence,Yes,No,No,No,No,No,,No,No,HO449,HO449
HO450,38-50 REGENT STREET & 35-49 LITTLE HODDLE STREET RICHMOND Henry Walters’ Boot Factories (Former),No,No,No,No,No,No,,No,No,HO450,HO450
HO452,"HIGHETT, EGAN & MUIR STREETS AND JIKA PLACE RICHMOND West Richmond Railway Station complex",Yes,No,No,No,No,No,,No,No,HO452,HO452
HO453,"Building Society Cottages Precinct, Richmond",No,No,No,No,No,No,,No,No,HO453,HO453
HO454,"Church Street North Precinct, Richmond",Yes,No,No,No,No,No,,No,No,HO454,HO454
HO456,"Gardner Street Precinct, Richmond",No,No,No,No,No,No,,No,No,HO456,HO456
HO457,"Highett Street Precinct, Richmond",No,No,No,No,No,No,,No,No,HO457,HO457
HO458,"Lincoln Street Precinct, Richmond",No,No,No,No,No,No,,No,No,HO458,HO458
HO459,"Wells Street Precinct, Richmond",No,No,No,No,No,No,,No,No,HO459,HO459
HO460,"Yarraberg Precinct, Richmond",No,No,No,No,No,No,,No,No,HO460,HO460
HO461,"389-391 Highett Street, Richmond",No,No,No,No,No,No,,No,No,HO461,HO461
HO462,"6-8 Brougham Place, Richmond",No,No,No,No,No,No,,No,No,HO462,HO462
HO463,"9-11 CREMORNE STREET, CREMORNE",Yes,No,No,No,No,No,,No,No,HO463,HO463
HO464,"Smith Street South Precinct, Fitzroy and Collingwood",Yes59-61 and 67-,"Yes (51-53,  69 SmithStreet Fitzroyonly)",No,No,No,No,,No,No,HO464,HO464
HO465,218-222 NICHOLSON STREET FITZROY Former Avon Butter Factory,-,-,-,-,Yes Ref No H2315,Yes,H2315,No,No,HO465,HO465
HO466,8-12 SPRING STREET AND 14-16 ARGYLE STREET FITZROY Former cordial factory,-,-,-,-,Yes Ref No H2257,Yes,H2257,No,No,HO466,HO466
HO467,1 HOPETOUN PLACE FITZROY NORTH Former Melbourne Tramways and Omnibus Company Stables,-,-,-,-,Yes Ref No,Yes,,No,No,HO467,HO467
HO468,111 QUEENS PARADE FITZROY NORTH Porter prefabricated iron store,-,-,-,-,Yes Ref No H2243,Yes,H2243,No,No,HO468,HO468
HO469,YAN YEAN WATER SUPPLY SYSTEM Clonbinane To Fitzroy North,-,-,-,-,Yes Ref No H2333,Yes,H2333,No,No,HO469,HO469
HO470,"31 Leslie Street, Richmond",No,No,No,No,No,No,,No,No,HO470,HO470
HO471,"Abinger Street Precinct, Richmond","Yes (22-28,23 & 25Abinger Stand 37-45 &40-50Lyndhurst Stonly)",No,No,No,No,No,,No,No,HO471,HO471
HO472,"Bell Street Precinct, Richmond",Yes (15-21Bell St & 204-208 Coppin Stonly),No,No,No,No,No,,No,No,HO472,HO472
HO474,"Burnley Street Precinct, Richmond","Yes (377,380, 400-402Burnley Stand 413-415Swan St only)",No,No,No,No,No,,No,No,HO474,HO474
HO476,"Edinburgh Street Precinct, Richmond",Yes (42 & 58-60 EdinburghSt and 12Newry StOnly),No,No,No,No,No,,No,No,HO476,HO476
HO477,"Hosie Street Precinct, Richmond",No,No,No,No,No,No,,No,No,HO477,HO477
HO478,"Mitchell Street Precinct, Richmond",No,No,No,No,No,No,,No,No,HO478,HO478
HO479,"Neptune Street Precinct, Richmond",No,No,No,No,No,No,,No,No,HO479,HO479
HO481,"Stawell Street Precinct, Richmond",No,No,No,No,No,No,,No,No,HO481,HO481
HO482,"84-86 ABINGER STREET, RICHMOND W. James & Co. Sack Merchants (former)",No,No,No,No,No,No,,No,No,HO482,HO482
HO483,"254 BURNLEY STREET, RICHMOND House",Yes,No,No,No,No,No,,No,No,HO483,HO483
HO484,"327-329 BURNLEY STREET, RICHMOND Greek Orthodox Church",No,No,No,No,No,No,,No,No,HO484,HO484
HO485,"8 CORSAIR STREET, RICHMOND Opportunity Club for Girls (former)",Yes,No,No,No,No,No,,No,No,HO485,HO485
HO486,"30 CORSAIR STREET, RICHMOND House",No,No,No,No,No,No,,No,No,HO486,HO486
HO487,"8 DICKENS STREET, RICHMOND House",No,No,No,No,No,No,,No,No,HO487,HO487
HO488,"32-36 FARMER STREET, RICHMOND Terrace",Yes,No,No,No,No,No,,No,No,HO488,HO488
HO489,"85-91 LORD STREET, RICHMOND Houses",Yes,No,No,No,No,No,,No,No,HO489,HO489
HO490,"72-80 STAWELL STREET, RICHMOND Houses",Yes,No,No,No,No,No,,No,No,HO490,HO490
HO491,"69 & 89 TYPE STREET, RICHMOND Floyd Green & Co. Glassworks (former)",No,No,No,No,No,No,,No,No,HO491,HO491
HO492,"33-39 WALL STREET, RICHMOND Terrace",Yes,No,No,No,No,No,,No,No,HO492,HO492
HO495,"62-68 Appleton Street, Richmond",NoExternal,NoInternal,No,No,No TreeIncluded on the,No,,No,No,HO495,HO495
HO498,"""472-484 NAPIER STREET  NORTH    Incorporated plan:   Incorporated Plan under the provisions of clause 43.01 Heritage Overlay,20 Planning permit exemptions, July 2014","FITZROY""",No,No,No,No,No,,No,No,HO498,HO498
HO501,"""223-239 SWAN STREET  Shops and Residences    Incorporated plan:   Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014","RICHMOND""",No,No,No,No,No,,No,No,HO501,HO501
HO503,"""2 JAMES STREET Former Commerical Stables and Hitching Posts","ABBOTSFORD""",No,No,No,No,No,,No,No,HO503,HO503
HO505,"JOHNSTON STREET EAST The  heritage place includes 219-41 & 246-  74 Johnston Street and the Johnston Street railway bridge including the brick   and bluestone abutments      Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes – 219-23& 258-60Johnston Stonly        External,No           Internal,No,No,No                                  TreeIncluded on the,No,,No,No,HO505,HO505
HO506,"33-45 DERBY STREET, COLLINGWOOD    Incorporated plan:  Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO506,HO506
HO507,"18-22 DERBY STREET,  COLLINGWOOD    Incorporated plan:  Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO507,HO507
HO508,"32-34 THOMAS STREET, RICHMOND     Incorporated plan:   Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO508,HO508
HO509,"200-206 CHURCH STREET, RICHMOND   Incorporated plan:   Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO509,HO509
HO522,"273A SWAN STREET, RICHMOND Shop And Residence   Incorporated plan:   Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO522,HO522
HO523,"323-325 SWAN STREET, RICHMOND Pair of Shops and Residences   Incorporated plan:   Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO523,HO523
HO524,"Swan Street West Precinct   Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO524,HO524
